Master Campaign Id,Advertiser,Campaign Id,Campaign ID type,Campaign Start,Campaign End,Promotion Type,Promoted Program Name,Episode,Network,Air Date Time,Time Zone,Program Duration(minutes),ISCI
2,GSN,152278,VOD,06/16/2016,06/22/2016,Episode,Skin Wars: Fresh Paint,S1Ep4,GSN,07/06/2016 21:00:00,CST,60,"SWFPNEWCV01H, SWFPNEWCV02H, SWFPNEWCV03H"
2,GSN,152278,VOD,06/16/2016,06/22/2016,Episode,Skin Wars: Fresh Paint,S1Ep5,GSN,07/13/2016 22:00:00,EST,60,"SWFPNEWCV01H, SWFPNEWCV02H, SWFPNEWCV03H"
2,GSN,152278,VOD,06/16/2016,06/22/2016,Episode,Skin Wars: Fresh Paint,S1Ep5,GSN,07/13/2016 22:00:00,PST,60,"SWFPNEWCV01H, SWFPNEWCV02H, SWFPNEWCV03H"
2,GSN,152278,VOD,06/16/2016,06/22/2016,Episode,Skin Wars: Fresh Paint,S1Ep5,GSN,07/13/2016 22:00:00,MST,60,"SWFPNEWCV01H, SWFPNEWCV02H, SWFPNEWCV03H"
2,GSN,152278,VOD,06/16/2016,06/22/2016,Episode,Skin Wars: Fresh Paint,S1Ep5,GSN,07/13/2016 21:00:00,CST,60,"SWFPNEWCV01H, SWFPNEWCV02H, SWFPNEWCV03H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep3,Bravo,05/17/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep3,Bravo,05/17/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep3,Bravo,05/17/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep3,Bravo,05/17/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep4,Bravo,05/24/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep4,Bravo,05/24/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep4,Bravo,05/24/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep4,Bravo,05/24/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep5,Bravo,05/31/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep5,Bravo,05/31/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep5,Bravo,05/31/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,137222,Linear,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep5,Bravo,05/31/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 21:00:00,MST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep1,Bravo,05/03/2016 20:00:00,CST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 21:00:00,EST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
3,Bravo,144862,VOD,04/19/2016,5/17/2016,Episode,Below Deck Mediterranean,S1Ep2,Bravo,05/10/2016 21:00:00,PST,60,"BRBD0001H, BRBD0002H, BRBD0003H, BRBD0004H, BRBD0022H, BRBD0023H"
